datetime,A,B,C,D,E,F,G,H,I,J,K,L,M
2024-05-28,5228.464241733374,0.0,174.4446500000027,3.0,0.0,10.0,217.52900000000318,217.52900000000318,11.0,217.52900000000318,1e+100,217.52900000000318,1e+100
2024-05-29,5228.464241733374,0.0,151.73610714285996,3.0,0.0,10.0,170.479000000003,170.479000000003,11.0,170.479000000003,1e+100,170.479000000003,1e+100
2024-05-30,5228.464241733374,0.0,119.07220714285995,3.0,0.0,10.0,129.2245000000039,129.2245000000039,11.0,129.2245000000039,1e+100,129.2245000000039,1e+100
2024-05-31,5228.464241733374,0.0,93.11517857143133,3.0,0.0,10.0,156.95850000000337,156.95850000000337,11.0,156.95850000000337,1e+100,156.95850000000337,1e+100
2024-06-03,5228.464241733374,0.0,71.26495000000277,3.0,0.0,10.0,148.56950000000325,148.56950000000325,11.0,148.56950000000325,1e+100,148.56950000000325,1e+100
2024-06-04,5228.464241733374,0.0,54.78106785714564,3.0,0.0,10.0,139.70850000000428,139.70850000000428,11.0,139.70850000000428,1e+100,139.70850000000428,1e+100
2024-06-05,5253.268427785609,0.0,50.596696428574305,3.0,0.0,9.0,187.52200000000448,187.52200000000448,11.0,187.52200000000448,1e+100,187.52200000000448,1e+100
2024-06-06,5255.608006396328,0.0,44.596235714288426,3.0,0.0,9.0,173.88900000000467,173.88900000000467,11.0,173.88900000000467,1e+100,173.88900000000467,1e+100
2024-06-07,5256.154606076511,0.0,38.69866785714558,3.0,0.0,9.0,156.14900000000398,156.14900000000398,11.0,156.14900000000398,1e+100,156.14900000000398,1e+100
2024-06-10,5264.361875772686,0.0,35.73294285714543,3.0,0.0,9.0,158.97700000000532,158.97700000000532,11.0,158.97700000000532,1e+100,158.97700000000532,1e+100
2024-06-11,5278.842781984053,0.0,35.04191785714535,3.0,0.0,9.0,163.26900000000478,163.26900000000478,11.0,163.26900000000478,1e+100,163.26900000000478,1e+100
2024-06-12,5322.18214288485,0.0,41.12558571428828,2.0,0.0,9.0,199.48550000000523,199.48550000000523,11.0,199.48550000000523,1e+100,199.48550000000523,1e+100
2024-06-13,5335.912035740607,0.0,53.43612142857397,2.0,0.0,10.0,200.6525000000056,200.6525000000056,11.0,200.6525000000056,1e+100,200.6525000000056,1e+100
2024-06-14,5337.803933953576,0.0,63.5314321428596,2.0,0.0,10.0,187.6590000000042,187.6590000000042,11.0,187.6590000000042,1e+100,187.6590000000042,1e+100
2024-06-17,5375.281237255897,0.0,78.77415357143093,2.0,0.0,10.0,218.62350000000515,218.62350000000515,11.0,218.62350000000515,1e+100,218.62350000000515,1e+100
2024-06-18,5392.053175393103,0.0,95.13522500000231,2.0,0.0,10.0,224.62300000000505,224.62300000000505,11.0,224.62300000000505,1e+100,224.62300000000505,1e+100
2024-06-20,5392.053175393103,0.0,108.2429464285739,2.0,0.0,10.0,205.23200000000543,205.23200000000543,11.0,205.23200000000543,1e+100,205.23200000000543,1e+100
2024-06-21,5393.937290792275,0.0,117.43505000000259,2.0,0.0,10.0,188.36550000000443,188.36550000000443,11.0,188.36550000000443,1e+100,188.36550000000443,1e+100
2024-06-24,5394.284426252662,0.0,117.61824642857428,2.0,0.0,10.0,163.37100000000464,163.37100000000464,11.0,163.37100000000464,1e+100,163.37100000000464,1e+100
2024-06-25,5396.289204940029,0.0,124.0423214285743,2.0,0.0,10.0,178.13550000000487,178.13550000000487,11.0,178.13550000000487,1e+100,178.13550000000487,1e+100
2024-06-26,5397.698744693027,0.0,130.98768571428866,2.0,0.0,10.0,179.85100000000511,179.85100000000511,11.0,179.85100000000511,1e+100,179.85100000000511,1e+100
2024-06-27,5399.837807458376,0.0,133.31882500000305,2.0,0.0,10.0,177.12600000000475,177.12600000000475,11.0,177.12600000000475,1e+100,177.12600000000475,1e+100
2024-06-28,5399.837807458376,0.0,125.23037857143157,3.0,0.0,10.0,146.0195000000058,146.0195000000058,11.0,146.0195000000058,1e+100,146.0195000000058,1e+100
2024-07-01,5399.837807458376,0.0,117.62685714286033,3.0,0.0,10.0,154.34900000000562,154.34900000000562,11.0,154.34900000000562,1e+100,154.34900000000562,1e+100
2024-07-02,5419.464337669625,0.0,112.83467500000327,3.0,0.0,10.0,181.54300000000603,181.54300000000603,11.0,181.54300000000603,1e+100,181.54300000000603,1e+100
2024-07-03,5448.747120786144,0.0,108.47886071428906,3.0,0.0,10.0,201.0340000000051,201.0340000000051,11.0,201.0340000000051,1e+100,201.0340000000051,1e+100
2024-07-05,5479.480264746836,0.0,110.37686785714604,2.0,0.0,10.0,222.279000000005,222.279000000005,11.0,222.279000000005,1e+100,222.279000000005,1e+100
2024-07-08,5487.466251509494,0.0,110.18218214286007,3.0,0.0,10.0,220.35200000000532,220.35200000000532,11.0,220.35200000000532,1e+100,220.35200000000532,1e+100
2024-07-09,5494.05693893402,0.0,107.24774642857436,3.0,0.0,10.0,216.5825000000059,216.5825000000059,11.0,216.5825000000059,1e+100,216.5825000000059,1e+100
2024-07-10,5549.310591987319,0.0,111.8648000000029,2.0,0.0,10.0,264.5310000000063,264.5310000000063,11.0,264.5310000000063,1e+100,264.5310000000063,1e+100
2024-07-11,5549.310591987319,0.0,102.43840714286006,3.0,0.0,10.0,206.93200000000616,206.93200000000616,11.0,206.93200000000616,1e+100,206.93200000000616,1e+100
